!Produced on 2013-10-29 02:22:33.096074
!Based on the ansatz of Andrew et al. 2009 (eq 1 - 5):
!2009 ApJ, 700, 1502
!Format:
!         8      5000       100        50
!(8ES18.9)
! radius            theta             dens_gas          T                 dens_dust         d2g_mass          d2g_num           r_dust            
   5.315224797e-01   1.313619894e+00   1.363384999e+09   0.000000000e+00   2.468395724e-05   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.326477145e+00   4.950762284e+09   0.000000000e+00   8.963308574e-05   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.339334396e+00   1.682707146e+10   0.000000000e+00   3.046525469e-04   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.352191646e+00   5.353377968e+10   0.000000000e+00   9.692240485e-04   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.365048897e+00   1.594153652e+11   0.000000000e+00   2.886200200e-03   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.377906148e+00   4.443399403e+11   0.000000000e+00   8.044732846e-03   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.390763399e+00   1.159266882e+12   0.000000000e+00   2.098841792e-02   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.403620650e+00   2.830964405e+12   0.000000000e+00   5.125434442e-02   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.416477901e+00   6.470953685e+12   0.000000000e+00   1.171560081e-01   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.429335152e+00   1.384474869e+13   0.000000000e+00   2.506578735e-01   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.442192402e+00   2.772584335e+13   0.000000000e+00   5.019737874e-01   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.455049653e+00   5.197175188e+13   0.000000000e+00   9.409436819e-01   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.467906904e+00   9.118698374e+13   0.000000000e+00   1.650931768e+00   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.480764155e+00   1.497549710e+14   0.000000000e+00   2.711299672e+00   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.493621406e+00   2.302038312e+14   0.000000000e+00   4.167818723e+00   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.506478657e+00   3.312277771e+14   0.000000000e+00   5.996847765e+00   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.519335907e+00   4.460914049e+14   0.000000000e+00   8.076442949e+00   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   1.532193158e+00   5.623463285e+14   0.000000000e+00   1.018122743e+01   1.000000002e-05   1.810490602e-14   2.207729393e-02
   5.315224797e-01   1.545050409e+00   6.635394910e+14   0.000000000e+00   1.225307968e+01   1.019957811e-05   1.846624029e-14   2.207729393e-02
   5.315224797e-01   1.557907660e+00   7.328457769e+14   0.000000000e+00   4.960444388e+03   3.738623413e-03   6.768742543e-12   2.207729393e-02
   5.315224797e-01   1.570764911e+00   7.576023386e+14   0.000000000e+00   1.371742271e+05   1.000080458e-01   1.810636268e-10   2.207729393e-02
   5.480213184e-01   5.707963268e-01   9.861559743e-73   0.000000000e+00   1.785426121e-86   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   5.985732319e-01   5.652905347e-68   0.000000000e+00   1.023453199e-81   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   6.263501370e-01   2.379933008e-63   0.000000000e+00   4.308846338e-77   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   6.541270421e-01   7.359099356e-59   0.000000000e+00   1.332358020e-72   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   6.819039472e-01   1.671288849e-54   0.000000000e+00   3.025852749e-68   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   7.096808524e-01   2.787695152e-50   0.000000000e+00   5.047095866e-64   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   7.374577575e-01   3.415119928e-46   0.000000000e+00   6.183042525e-60   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   7.652346626e-01   3.072794764e-42   0.000000000e+00   5.563266032e-56   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   7.930115677e-01   2.030617216e-38   0.000000000e+00   3.676413380e-52   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   8.207884728e-01   9.855745695e-35   0.000000000e+00   1.784373493e-48   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   8.485653779e-01   3.513320981e-31   0.000000000e+00   6.360834608e-45   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   8.763422830e-01   9.198416803e-28   0.000000000e+00   1.665364715e-41   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   9.041191882e-01   1.768785850e-24   0.000000000e+00   3.202370153e-38   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   9.318960933e-01   2.498068488e-21   0.000000000e+00   4.522729514e-35   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   9.596729984e-01   2.591196462e-18   0.000000000e+00   4.691336835e-32   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   9.874499035e-01   1.974073226e-15   0.000000000e+00   3.574041017e-29   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   1.015226809e+00   1.104569608e-12   0.000000000e+00   1.999812891e-26   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   1.043003714e+00   4.539309930e-10   0.000000000e+00   8.218377955e-24   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   1.070780619e+00   1.370103885e-07   0.000000000e+00   2.480560204e-21   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   1.098557524e+00   3.037274715e-05   0.000000000e+00   5.498957318e-19   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   1.126334429e+00   4.945173881e-03   0.000000000e+00   8.953190822e-17   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   1.154111334e+00   5.913518693e-01   0.000000000e+00   1.070637000e-14   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   1.181888239e+00   5.193705218e+01   0.000000000e+00   9.403154471e-13   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   1.209665144e+00   3.350237026e+03   0.000000000e+00   6.065572641e-11   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   1.237442050e+00   1.587233010e+05   0.000000000e+00   2.873670442e-09   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   1.262190891e+00   3.807447193e+06   0.000000000e+00   6.893347349e-08   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   1.275048141e+00   1.801174706e+07   0.000000000e+00   3.261009873e-07   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.480213184e-01   1.287905392e+00   7.975550943e+07   0.000000000e+00   1.443966001e-06   1.000000000e-05   1.810490599e-14   2.207729393e-02
